正面（重要性+中文）,背面（考点词+命题）,重要性排行,考点词,常考中文词义,雅思阅读真题命题方式
"1 v.像,与·······相似","resemble,like,look like,be similar to",1,resemble,"v.像,与·······相似","like,look like,be similar to"
"2 v.认出,识别;承认","recognize,perceive,acknowledge,realize,appreciate,admit,identify,comprehend,understand,know",2,recognize,"v.认出,识别;承认","perceive,acknowledge,realize,appreciate,admit,identify,comprehend,understand,know"
"3 v.调整,使适合","adjust,change,modify,shift,alter",3,adjust,"v.调整,使适合","change,modify,shift,alter"
4 n.方法,"approach,method,way",4,approach,n.方法,"method,way"
"5 adj.基本的,基础的","fundamental,rudimentary,preliminary,basic",5,fundamental,"adj.基本的,基础的","rudimentary,preliminary,basic"
"6 依靠,依赖","rely on,depend on",6,rely on,"依靠,依赖",depend on
7 adj.家庭的;国内的,"domestic,home,local,national",7,domestic,adj.家庭的;国内的,"home,local,national"
8 v.测量,"measure,caluate,assess,evaluate",8,measure,v.测量,"caluate,assess,evaluate"
"9 n.特性,特征","trait,characteristic,feature,property",9,trait,"n.特性,特征","characteristic,feature,property"
10 v.创造,"coin,first used,invent",10,coin,v.创造,"first used,invent"
"11 adj.人造的,仿造的","artificial,synthetic,man-made",11,artificial,"adj.人造的,仿造的","synthetic,man-made"
"12 v.促进,激起","prompt,initiate,immediately",12,prompt,"v.促进,激起","initiate,immediately"
13 v.交换,"exchange,share,apply A to B",13,exchange,v.交换,"share,apply A to B"
14 v.成为······基础,"underlie,based on,ground,root",14,underlie,v.成为······基础,"based on,ground,root"
"15 v.忽视,不顾","ignore,neglect,overlook,underestimate",15,ignore,"v.忽视,不顾","neglect,overlook,underestimate"
"16 n.化肥,肥料","fertiliser,chemical,toxic,unnatural",16,fertiliser,"n.化肥,肥料","chemical,toxic,unnatural"
17 pron.那;那个（指示代词）,"that*,this, these,those, it, they, such*",17,that*,pron.那;那个（指示代词）,"this, these,those, it, they, such*"
"18 conj.和,而且（表并列）","and*,or,also,as well as,both … and,neither … nor …,not only … but also …,besides,in addition,other than,on the one hand, on the other hand,",18,and*,"conj.和,而且（表并列）","or,also,as well as,both … and,neither … nor …,not only … but also …,besides,in addition,other than,on the one hand, on the other hand,"
"19 而非,不是(表转折)","rather than*,instead,but,although,while,yet,however,whereas,nonetheless,nevertheless,notwithstanding,though",19,rather than*,"而非,不是(表转折)","instead,but,although,while,yet,however,whereas,nonetheless,nevertheless,notwithstanding,though"
20 由于，幸亏（表因果）,"thanks to*,because,due to,as a result of,bring … to,cause,stem from,derive,owing to,according to,because of,on account of,leading to,since,for,in that,as,therefore,hence",20,thanks to*,由于，幸亏（表因果）,"because,due to,as a result of,bring … to,cause,stem from,derive,owing to,according to,because of,on account of,leading to,since,for,in that,as,therefore,hence"
"21 n.多样性,差异","diversity,difference,variety",21,diversity,"n.多样性,差异","difference,variety"
"22 v.查明,发现","detect,look for,search,seek,find",22,detect,"v.查明,发现","look for,search,seek,find"
"23 v.使隔离,使孤立","isolate,inaccessable",23,isolate,"v.使隔离,使孤立",inaccessable
24 v.避免,"avoid,escape,evitable",24,avoid,v.避免,"escape,evitable"
25 n.预算,"budget,fund,financial",25,budget,n.预算,"fund,financial"
26 使适应,"adapt to,fit,suit",26,adapt to,使适应,"fit,suit"
"27 adj.供替代的,供选择的n.替代品","alternative,substitute",27,alternative,"adj.供替代的,供选择的n.替代品",substitute
"28 n.补偿,赔偿","compensate,make up,offset",28,compensate,"n.补偿,赔偿","make up,offset"
"29 n.成分,要素","component,proporation",29,component,"n.成分,要素",proporation
30 adj. 军事的,"military,weapon,army",30,military,adj. 军事的,"weapon,army"
31 n.标准,"criteria,standard",31,criteria,n.标准,standard
32 n.课程,"curriculum,syllabus,course of study",32,curriculum,n.课程,"syllabus,course of study"
33 adj.可行的,"feasible,realistic,viable",33,feasible,adj.可行的,"realistic,viable"
"34 v.束缚,限制","constrain,stop,control",34,constrain,"v.束缚,限制","stop,control"
"35 n.缺陷,缺点","deficiency,defect,weakness,shortage",35,deficiency,"n.缺陷,缺点","defect,weakness,shortage"
36 v.补充,"supplement,provision",36,supplement,v.补充,provision
"37 v.区别,辨别","distinguish,differentiate,separate,",37,distinguish,"v.区别,辨别","differentiate,separate,"
"38 v.分析,解释","analyze,examine,diagnose",38,analyze,"v.分析,解释","examine,diagnose"
"39 v.强调,着重","emphasize,focus on,stress",39,emphasize,"v.强调,着重","focus on,stress"
"40 adj. 庞大的,巨大的","enormous,massive,large",40,enormous,"adj. 庞大的,巨大的","massive,large"
41 v.模仿,"imitate,mimic,copy",41,imitate,v.模仿,"mimic,copy"
"42 v.削弱,减少","impair,damage,decrease,diminish",42,impair,"v.削弱,减少","damage,decrease,diminish"
43 v.阻碍,"hinder,deter,prevent,obstacle,impede",43,hinder,v.阻碍,"deter,prevent,obstacle,impede"
44 adj. 合法的,"legitimate,legal",44,legitimate,adj. 合法的,legal
45 n.限制,"limitation,restriction",45,limitation,n.限制,restriction
46 n.手法;习俗,"convention,tradition,method",46,convention,n.手法;习俗,"tradition,method"
47 adj.苛求的,"demanding,troublesome",47,demanding,adj.苛求的,troublesome
48 v.决定,"determine,decide",48,determine,v.决定,decide
"49 v.加速,促进;强调","accelerate,speed up",49,accelerate,"v.加速,促进;强调",speed up
50 adj.古代的;古老的,"ancient,old,aged",50,ancient,adj.古代的;古老的,"old,aged"
51 adj.有益的,"beneficial,helpful,advantageous,wholesome",51,beneficial,adj.有益的,"helpful,advantageous,wholesome"
"52 adj.慢性的,长期性的","chronic,lasting",52,chronic,"adj.慢性的,长期性的",lasting
"53 adj.有意识的,神志清醒的","conscious,aware,knowing",53,conscious,"adj.有意识的,神志清醒的","aware,knowing"
"54 v.最小化,使······减到最小","minimize,reduce,lesson",54,minimize,"v.最小化,使······减到最小","reduce,lesson"
55 n.免疫力,"immunity,resistance",55,immunity,n.免疫力,resistance
"56 adj.必要的,紧急的","imperative,urgent,necessary,compelling",56,imperative,"adj.必要的,紧急的","urgent,necessary,compelling"
57 v.分泌,"secrete,discharge,exude",57,secrete,v.分泌,"discharge,exude"
"58 v .夸大,夸张","exaggerate,overstate",58,exaggerate,"v .夸大,夸张",overstate
"59 v.传达,传输","transmit,pass,send/transfer",59,transmit,"v.传达,传输","pass,send/transfer"
60 v.灭绝,"extinct,die out,lost",60,extinct,v.灭绝,"die out,lost"
61 adj.独有的;排外的;专一的,"exclusive,only",61,exclusive,adj.独有的;排外的;专一的,only
"62 v.保证,担保","guarantee,assure",62,guarantee,"v.保证,担保",assure
63 v.继承,"inherit,receive",63,inherit,v.继承,receive
"64 n.见证,证据;目击者","witness,see,view",64,witness,"n.见证,证据;目击者","see,view"
65 adj有磁性的,"magnetic,attractive",65,magnetic,adj有磁性的,attractive
"66 n.减少;亏损;失败,遗失","loss,waste,gone",66,loss,"n.减少;亏损;失败,遗失","waste,gone"
67 n.选择,"option,choice,",67,option,n.选择,"choice,"
68 更喜欢,"prefer to,rather",68,prefer to,更喜欢,rather
69 n.优先权,"priority,preference,preferential",69,priority,n.优先权,"preference,preferential"
70 adj.主要的,"primary,main,principle",70,primary,adj.主要的,"main,principle"
71 n.原理,"principle,rule",71,principle,n.原理,rule
72 n.潜能adj潜在的,"potential,possibility",72,potential,n.潜能adj潜在的,possibility
"73 n.量,数量","quantity,number",73,quantity,"n.量,数量",number
"74 v.解决;定居,稳定","settle,fix,figure out",74,settle,"v.解决;定居,稳定","fix,figure out"
75 v.使复杂,"sophisticate,complicate",75,sophisticate,v.使复杂,complicate
76 adj明确的;特殊的,"specific,particular,detailed",76,specific,adj明确的;特殊的,"particular,detailed"
"77 v.存活,幸存","survive,remain",77,survive,"v.存活,幸存",remain
"78 adj.迅速的,敏捷的,立刻的","swift,quick,rapic",78,swift,"adj.迅速的,敏捷的,立刻的","quick,rapic"
79 adv.出乎意料地,"unexpectedly,surprising",79,unexpectedly,adv.出乎意料地,surprising
80 n.环境,"surrounding,environment,setting",80,surrounding,n.环境,"environment,setting"
"81 n.试图,尝试","attempt,try,test",81,attempt,"n.试图,尝试","try,test"
82 v.专门技术,"expertise,knowledge,skill",82,expertise,v.专门技术,"knowledge,skill"
"83 n.能力,才能;全体教员","faculty,ability",83,faculty,"n.能力,才能;全体教员",ability
84 v.捐赠,"donate,contribute",84,donate,v.捐赠,contribute
85 n. 动力学,"dynamics,energy,force,move",85,dynamics,n. 动力学,"energy,force,move"
"86 n.刺激,鼓励;动机","incentive,motive,stimulus",86,incentive,"n.刺激,鼓励;动机","motive,stimulus"
87 n. 死亡率,"morality,death",87,morality,n. 死亡率,death
"88 adj. 外围的,次要的","peripheral,unimportant,minor",88,peripheral,"adj. 外围的,次要的","unimportant,minor"
"89 n.邻近,附近","vicinity,neighbourhood,nearby",89,vicinity,"n.邻近,附近","neighbourhood,nearby"
"90 v.威胁,危及","threaten,endanger,jeoparadize,risk,hazard",90,threaten,"v.威胁,危及","endanger,jeoparadize,risk,hazard"
91 n.实行;练习,"practice,exercise,method",91,practice,n.实行;练习,"exercise,method"
92 n.细菌,"bacteria,germ,virus,microbe",92,bacteria,n.细菌,"germ,virus,microbe"
93 受……支配,"be subject to,face",93,be subject to,受……支配,face
94 易于…,"be liable to,potential",94,be liable to,易于…,potential
